,,,,,,,,,,,,,,,,,,,,,
1,f_1,1. General identification information about the survey,,,,,,,,,,,,,,,,,,,
2,f_1_0,1.0. Country,HR (Croatia),HR (Croatia),HR (Croatia),HR (Croatia),HR (Croatia),HR (Croatia),HR (Croatia),HR (Croatia),HR (Croatia),HR (Croatia),HR (Croatia),HR (Croatia),HR (Croatia),HR (Croatia),HR (Croatia),HR (Croatia),HR (Croatia),HR (Croatia),HR (Croatia)
73,sh_2_c,2c. In the case of surveys that are a part of an international survey programme:,,,,,,,,,,,,,,,,,,,
74,f_2_9,2.9. Date when the survey first became a part,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable
75,f_2_10,2.10. Frequency of waves since then,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable
76,sh_2_d,2d. If sample is pooled:,,,,,,,,,,,,,,,,,,,
77,f_2_11,2.11. How many surveys pooled,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable
78,f_2_12,2.12. Which other surveys pooled,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable
79,f_2_12a,2.12a. Pools emigrants from more than 1 country,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable
80,f_2_13,2.13. Any qualitative studies linked to survey,-999.Not applicable,-999.Not applicable,-999.Not applicable,1.Yes,0.No,1.Yes,-999.Not applicable,1.Yes,-999.Not applicable,-999.Not applicable,-999.Not applicable,0.No,0.No,0.No,1.Yes,1.Yes,-999.Not applicable,-999.Not applicable,-999.Not applicable
81,f_2_14,"2.14. If ""Yes"", describe the studies",-999.Not applicable,-999.Not applicable,-999.Not applicable,Interviews among high school students in Vukovar.,-999.Not applicable,Interviews with experts and locals (oral history method).,-999.Not applicable,"Expert interviews and focus groups with teachers, parents and pupils on national minority schooling.",-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,"Ethnographic research, focus groups, interviews.","Ethnographic research, focus groups, interviews.",-999.Not applicable,-999.Not applicable,-999.Not applicable
82,f_2_15,2.15. Additional comments to section 2,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,"This study could be considered as a repeat of the following study (HRS004), ""Empirical Research: (Re)Construction of Primary Social Relations Network in Local Communities in Western and Eastern Slavonia"", but conducted in new locations.",-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable
83,f_3,3.Ethnic and migrant target population,,,,,,,,,,,,,,,,,,,
84,f_3_1,3.1. EMM Target population: which minority group(s) ,Serbian ethnic minority in the two counties,Immigrants from Bosnia and Herzegovina in Zagreb,Foreign workers in Croatia,Serbian ethnic minority,Serbian ethnic minority,Residents of 3 conflict versus 3 peace multi-ethnic areas (including majority and minority population),Residents of 3 localities (Romani and non-Romani),Italian national minority; Serbian national minority,Pupils attending minority educational programmes,Roma ethnic minority (Bayash),Immigrants from Bosnia and Herzegovina,Members of Serbian minority in Vukovar,Members of Serbian minority in Vukovar,Members of Serbian minority in Vukovar,Members of Serbian minority in Vukovar,Members of Serbian minority in Vukovar,Members of Serbian minority in Vukovar,Members of Roma minority in Međimurje county,Members of Serbian minority in 3 counties
85,f_3_1a,3.1a. EMM target population with terms standardized,Serbian; Ethnic minorities,Bosnian-Herzegovinian; Migrants,Foreign workers,Serbian; Ethnic minorities,Serbian; Ethnic minorities,Residents of multi-ethnic areas; Minority population; Majority population,Residents of multi-ethnic areas; Minority population; Majority population,Italian; Serbian; National minorities,Students,Roma; Bayash,Bosnian-Herzegovinian; Migrants,Serbian; Minorities,Serbian; Minorities,Serbian; Minorities,Serbian; Minorities,Serbian; Minorities,Serbian; Minorities,Roma,Serbian; Minorities
86,f_3_2,3.2 Was the EMM target population…,6.A selection of residents of ethnic minority identification in the city/region/country,5.A selection of residents of foreign/immigrant origin or ancestry in the city/region/country,5.A selection of residents of foreign/immigrant origin or ancestry in the city/region/country,6.A selection of residents of ethnic minority identification in the city/region/country,6.A selection of residents of ethnic minority identification in the city/region/country,6.A selection of residents of ethnic minority identification in the city/region/country,7.Other (e.g. returning emigrants),6.A selection of residents of ethnic minority identification in the city/region/country,6.A selection of residents of ethnic minority identification in the city/region/country,6.A selection of residents of ethnic minority identification in the city/region/country,5.A selection of residents of foreign/immigrant origin or ancestry in the city/region/country,6.A selection of residents of ethnic minority identification in the city/region/country,6.A selection of residents of ethnic minority identification in the city/region/country,6.A selection of residents of ethnic minority identification in the city/region/country,6.A selection of residents of ethnic minority identification in the city/region/country,6.A selection of residents of ethnic minority identification in the city/region/country,6.A selection of residents of ethnic minority identification in the city/region/country,6.A selection of residents of ethnic minority identification in the city/region/country,6.A selection of residents of ethnic minority identification in the city/region/country
87,f_3_2a,"3.2a. If ""other"" in 3.2., describe which",-999.Not applicable,-999.Not applicable,'-999.Not applicable,-999.Not applicable,-999.Not applicable,'-999.Not applicable,The research targeted Romani and non-Romani populations in 3 localities in Međimurska county. A section of the research targeted primary school pupils (also Romani and non-Romani).,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable
88,sh_3_3,3.3.Operalization of target population [Choose yes/no for each variable below],,,,,,,,,,,,,,,,,,,
89,f_3_3_1,3.3.1.Country of birth of respondent,0.No,1.Yes,1.Yes,0.No,0.No,0.No,0.No,0.No,1.Yes,0.No,1.Yes,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No
90,f_3_3_2,3.3.2.Country of birth of parents/grandparents,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No,1.Yes,0.No,1.Yes,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No
91,f_3_3_3,3.3.3.Citizenship/nationality of respondent (current),1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,0.No,0.No,1.Yes,0.No,1.Yes,0.No,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes
92,f_3_3_4,3.3.4.Citizenship/nationality of respondent (at birth),0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No
93,f_3_3_5,3.3.5.Citizenship/nationality of parents/grandparents (current),0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No
94,f_3_3_6,3.3.6.Citizenship/nationality of parents/grandparents (at birth),0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No
95,f_3_3_7,3.3.7.Ethnic self-identification of respondent (one response allowed),1.Yes,1.Yes,0.No,0.No,0.No,1.Yes,0.No,0.No,1.Yes,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No
96,f_3_3_8,3.3.8.Ethnic self-identification of respondent (multiple responses allowed),0.No,0.No,0.No,0.No,0.No,-9.Don't know,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No
97,f_3_3_9,3.3.9.Ethnic self-identification of parents/grandparents,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No
98,f_3_3_10,3.3.10.Mother tongue/language related question,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No,1.Yes,0.No,0.No,1.Yes,1.Yes,1.Yes,0.No,0.No,0.No,0.No,0.No
99,f_3_3_11,3.3.11.Classification by interviewer,0.No,0.No,0.No,0.No,0.No,0.No,1.Yes,0.No,0.No,0.No,0.No,0.No,0.No,0.No,1.Yes,1.Yes,0.No,0.No,0.No
100,f_3_3_12,"3.3.12.Classification by third agent/proxy (e.g. by a government authority, an NGO, a social/cultural mediator, etc.)",0.No,0.No,0.No,0.No,0.No,0.No,0.No,1.Yes,0.No,1.Yes,0.No,0.No,0.No,0.No,0.No,0.No,0.No,1.Yes,0.No
101,f_3_3_13,3.3.13.Classification by geographical location,1.Yes,1.Yes,0.No,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,0.No,0.No,0.No,1.Yes,1.Yes,0.No,1.Yes,1.Yes
102,f_3_3_14,3.3.14.Through other means/characteristics (including non-ethnic/migrant minority-related characteristics),0.No,0.No,1.Yes,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No,1.Yes,1.Yes,1.Yes,0.No,0.No,0.No,0.No,0.No
103,f_3_3_15,3.3.15.Information not available on definition of target population,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No
104,f_3_3a,"3.3a. If ""other means"" in 3.3., describe which",'-999.Not applicable,'-999.Not applicable,Legal status,'-999.Not applicable,'-999.Not applicable,'-999.Not applicable,'-999.Not applicable,'-999.Not applicable,'-999.Not applicable,'-999.Not applicable,'-999.Not applicable,Attendance at an ethnic minority/majority school,Attendance at an ethnic minority/majority school,Attendance at an ethnic minority/majority school,'-999.Not applicable,'-999.Not applicable,'-999.Not applicable,'-999.Not applicable,'-999.Not applicable
105,sh_3_4,3.4. Migrant/minority related questions [Choose yes/no for each variable below],,,,,,,,,,,,,,,,,,,
106,f_3_4_1,3.4.1.Country of birth of respondent,0.No,1.Yes,1.Yes,-9.Don't know,-9.Don't know,-9.Don't know,-9.Don't know,-9.Don't know,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,-9.Don't know,-9.Don't know,0.No,-9.Don't know,-9.Don't know
107,f_3_4_2,3.4.2.Country of birth of parents,0.No,0.No,0.No,-9.Don't know,-9.Don't know,-9.Don't know,-9.Don't know,-9.Don't know,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,-9.Don't know,-9.Don't know,0.No,-9.Don't know,-9.Don't know
108,f_3_4_3,3.4.3.Country of birth of grandparents,0.No,0.No,0.No,-9.Don't know,-9.Don't know,-9.Don't know,-9.Don't know,-9.Don't know,-9.Don't know,-9.Don't know,-9.Don't know,0.No,0.No,0.No,-9.Don't know,-9.Don't know,0.No,-9.Don't know,-9.Don't know
109,f_3_4_4,3.4.4.Nationality of respondent (current),1.Yes,1.Yes,0.No,1.Yes,1.Yes,-9.Don't know,-9.Don't know,-9.Don't know,-9.Don't know,1.Yes,-9.Don't know,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,-9.Don't know,-9.Don't know
110,f_3_4_5,3.4.5.Nationality of respondent (at birth),0.No,0.No,0.No,-9.Don't know,-9.Don't know,-9.Don't know,-9.Don't know,-9.Don't know,-9.Don't know,-9.Don't know,-9.Don't know,0.No,0.No,0.No,-9.Don't know,-9.Don't know,0.No,-9.Don't know,-9.Don't know
111,f_3_4_6,3.4.6.Nationality of parents (current),0.No,0.No,0.No,-9.Don't know,-9.Don't know,-9.Don't know,-9.Don't know,-9.Don't know,-9.Don't know,-9.Don't know,-9.Don't know,0.No,0.No,0.No,-9.Don't know,-9.Don't know,1.Yes,-9.Don't know,-9.Don't know
112,f_3_4_7,3.4.7.Nationality of grandparents (current),0.No,0.No,0.No,-9.Don't know,-9.Don't know,-9.Don't know,-9.Don't know,-9.Don't know,-9.Don't know,-9.Don't know,-9.Don't know,0.No,0.No,0.No,-9.Don't know,-9.Don't know,0.No,-9.Don't know,-9.Don't know
113,f_3_4_8,3.4.8.Nationality of parents (at birth),0.No,0.No,0.No,-9.Don't know,-9.Don't know,-9.Don't know,-9.Don't know,-9.Don't know,-9.Don't know,-9.Don't know,-9.Don't know,0.No,0.No,0.No,-9.Don't know,-9.Don't know,0.No,-9.Don't know,-9.Don't know
114,f_3_4_9,3.4.9.Nationality of grandparents (at birth),0.No,0.No,0.No,-9.Don't know,-9.Don't know,-9.Don't know,-9.Don't know,-9.Don't know,-9.Don't know,-9.Don't know,-9.Don't know,0.No,0.No,0.No,-9.Don't know,-9.Don't know,0.No,-9.Don't know,-9.Don't know
115,f_3_4_10,3.4.10.Ethnic self-identification of respondent (one response allowed),0.No,1.Yes,0.No,-9.Don't know,-9.Don't know,1.Yes,-9.Don't know,-9.Don't know,1.Yes,-9.Don't know,-9.Don't know,0.No,0.No,0.No,-9.Don't know,-9.Don't know,0.No,-9.Don't know,-9.Don't know
116,f_3_4_11,3.4.11.Ethnic self-identification of respondent (multiple responses allowed),0.No,0.No,0.No,-9.Don't know,-9.Don't know,-9.Don't know,-9.Don't know,-9.Don't know,-9.Don't know,-9.Don't know,-9.Don't know,0.No,0.No,0.No,-9.Don't know,-9.Don't know,0.No,-9.Don't know,-9.Don't know
117,f_3_4_12,3.4.12.Ethnic self-identification of parents,0.No,0.No,0.No,-9.Don't know,-9.Don't know,-9.Don't know,-9.Don't know,-9.Don't know,-9.Don't know,-9.Don't know,-9.Don't know,0.No,0.No,0.No,-9.Don't know,-9.Don't know,0.No,-9.Don't know,-9.Don't know
118,f_3_4_13,3.4.13.Ethnic self-identification of grandparents,0.No,0.No,0.No,-9.Don't know,-9.Don't know,-9.Don't know,-9.Don't know,-9.Don't know,-9.Don't know,-9.Don't know,-9.Don't know,0.No,0.No,0.No,-9.Don't know,-9.Don't know,0.No,-9.Don't know,-9.Don't know
119,f_3_4_14,3.4.14.Mother tongue/language related question,0.No,0.No,0.No,-9.Don't know,-9.Don't know,-9.Don't know,-9.Don't know,-9.Don't know,1.Yes,-9.Don't know,-9.Don't know,0.No,0.No,0.No,-9.Don't know,-9.Don't know,0.No,-9.Don't know,-9.Don't know
120,f_3_4_15,3.4.15.Classification by interviewer,0.No,0.No,0.No,-9.Don't know,-9.Don't know,-9.Don't know,-9.Don't know,-9.Don't know,0.No,-9.Don't know,-9.Don't know,0.No,0.No,0.No,-9.Don't know,-9.Don't know,0.No,-9.Don't know,-9.Don't know
121,f_3_4_16,3.4.16.Information not available on migrant/minority related questions,0.No,0.No,0.No,0.No,0.No,0.No,1.Yes,1.Yes,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No,1.Yes,1.Yes
122,f_3_5,3.5. Size of the EMM target pop. as a whole,"305,032 (7.75% of total population of Osijek-Baranja County); 179,521 (15.5% of total population of Vukovar-Srijem County)","271,211 (44.8% of immigrants in Croatia are from Bosnia and Herzegovina); 409,357 (70% of immigrants in Croatia are born in Bosnia and Herzegovina)","1,518","15,279 (Serbian residents); 56,672 (immigrants from the Republika Srpska (BA) and Serbia)","68,999 (Serbian residents); 32,311 (immigrants from the Republika Srpska (BA) and Serbia)",-99.Information not available,"5,280 (residents of selected localities, of which 960 are Romani)",-99.Information not available,-99.Information not available,-99.Information not available,-99.Information not available,-99.Information not available,-99.Information not available,-99.Information not available,-99.Information not available,"18,199 Croats (57% of the total number of Vukovar inhabitants) and 10,412 Serbs (33% of the total number of Vukovar inhabitants)",-99.Information not available,"5,107 (Roma residents in Međimurje county)",-99.Information not available
123,f_3_6,3.6. Survey include subgroup of majority pop.,1.Yes,0. No,0. No,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,0. No,0. No,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,0. No,0. No
124,f_3_6a,3.6a. Survey designed as a general population survey,1.Yes,0. No,0. No,0. No,0. No,0. No,0. No,1.Yes,0. No,0. No,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,0. No,0. No
125,f_3_7,3.7. Additional comments to section 3,-999.Not applicable,-999.Not applicable,"Study was exploratory with a convenience sample, but official data on foreign workers (with work permits) in Croatia in 2010 and 2011 was used as a general sampling frame.","Based on the published results, it was concluded that 3.4.4 was included in the survey; for other categories of 3.4, it is unknown if they were included in the survey.","Based on the published results, it was concluded that 3.4.4 was included in the survey; for other categories of 3.4, it is unknown if they were included in the survey.","Based on the published results, it was concluded that 3.4.10 was included in the survey; for other categories of 3.4, it is unknown if they were included in the survey.",-999.Not applicable,-999.Not applicable,-999.Not applicable,"Based on the published results, it was concluded that 3.4.4 was included in the survey; for other categories of 3.4, it is unknown if they were included in the survey.","Based on the published results, it was concluded that 3.4.1 and 3.4.2 were included in the survey; for other categories of 3.4, it is unknown if they were included in the survey.",-999.Not applicable,-999.Not applicable,-999.Not applicable,"Based on the published results, it was concluded that 3.4.4 was included in the survey; for other categories of 3.4, it is unknown if they were included in the survey.","The size of the EMM target population as a whole is based on the 2001 census data for Vukovar. Based on the published results, it was concluded that 3.4.4 was included in the survey; for other categories of 3.4, it is unknown if they were included in the survey.",-999.Not applicable,"The size of the EMM target population as a whole is based on information from the Atlas of Roma settlements in Međimurje County (www.hr.undp.org); the Census of Population, Households and Dwellings 2011; and data obtained from local administrative and other institutions. ",-999.Not applicable
126,f_4,4. Sampling method,,,,,,,,,,,,,,,,,,,
127,f_4_1,4.1. Sampling strategy - closed,2.Non-probability sampling (including snowball/network and purposive samplings),2.Non-probability sampling (including snowball/network and purposive samplings),2.Non-probability sampling (including snowball/network and purposive samplings),2.Non-probability sampling (including snowball/network and purposive samplings),2.Non-probability sampling (including snowball/network and purposive samplings),"1.Random sampling/selection (i.e. probability sampling, of some kind)",-99.Information not available,"1.Random sampling/selection (i.e. probability sampling, of some kind)",-9.Don't know,2.Non-probability sampling (including snowball/network and purposive samplings),-9.Don't know,"1.Random sampling/selection (i.e. probability sampling, of some kind)","1.Random sampling/selection (i.e. probability sampling, of some kind)","1.Random sampling/selection (i.e. probability sampling, of some kind)","1.Random sampling/selection (i.e. probability sampling, of some kind)","1.Random sampling/selection (i.e. probability sampling, of some kind)",-9.Don't know,-9.Don't know,-9.Don't know
128,f_4_2,4.2. Sampling strategy - open,A convenience sample was used as the interviewers were instructed to conduct a survey on an equal numbers of Croatian and Serbian group members. There is no additional information on sample creation.,"A judgmental/purposive sample was used; based on their knowledge and professional judgment, the researchers selected specific town areas where most of the immigrants from Bosnia and Herzegovina in Zagreb reside.","A convenience sample, with official data on foreign workers (with work permits) in Croatia in 2010 and 2011, was used as a general or starting sampling frame. The research was limited to three cities due to financial limitations.",The sample includes 3 groups of war-related migrants: Croatian and Serbian residents and immigrants from the Republika Srpska (BA) and Serbia.,The sample includes 3 groups of war-related migrants: Croatian and Serbian residents and immigrants from the Republika Srpska (BA) and Serbia.,A combination of quota and random stratified sampling was used.,-99.Information not available,"Schools were randomly sampled from the Ministry list, according to the geographical location and type of schooling they were provided.",The Darda municipality was chosen as a case study because of its ethnic diversity. That was the only information available about the sampling.,"A judgmental/purposive sample was used. The initial locations were selected in cooperation with the Office for National Minorities of the Government of the Republic of Croatia and representatives of minority civil associations. All adult Roma inhabitants of selected villages were invited to participate in the study by a written invitation and, additionally, by an invitation advertised on a local radio program. The sample consists of voluntary Roma participants.","The authors only state that: ""Participants in this study were recruited from high schools in the coastal town and regional center of Split and on the island of Hvar in the Republic of Croatia.""","A probability cluster sampling model was used. All sixth and eighth grades of elementary school and second grades of high school were treated as clusters in all the schools where the curriculum was provided in both Croatian and Serbian languages.
","A probability cluster sampling model was used. All sixth and eighth grades of elementary school and second grades of high school were treated as clusters in all the schools where the curriculum was provided in both Croatian and Serbian languages.
","A probability cluster sampling model was used. All sixth and eighth grades of elementary school and second grades of high school were treated as clusters in all the schools where the curriculum was provided in both Croatian and Serbian languages. Practically all sixth and eighth grade students participated in this study, as well as the total population of high school second-graders.
","The survey sample was randomly selected using a three-stage cluster procedure: the first stage unit was the part of the city inhabited predominantly by one of the nationalities, the second-stage unit was households (using the “Random Walk Technique”), and the third-stage unit was members of the households (whose birthday was closest to the date of the interview).",The survey was conducted on 66% of participants who took part in 2000 survey.,"""The sample consisted of 254 students at the university (37%) and in all four high schools (63%) of Vukovar. In each school, two classes of the last year were selected, one Croatian and the other Serbian.""","""The field research in Kuršanec listed a total of 197 Roma households and 1,134 inhabitants."" The available data suggests that the entire listed population participated in the survey.","""The survey included a total of 167 respondents who were official residents in selected local government units."""
129,f_4_3,4.3. Sample design - full information,Convenience sample,Judgmental/purposive sample,Convenience sample,Quota sample,Quota sample,Combination of quota and random stratified sampling,-99.Information not available,Combination of quota and random stratified sampling,A convenience sample was likely used,Judgmental/purposive sample,-99.Information not available,Probability cluster sample,Probability cluster sample,Probability cluster sample,Probability cluster sample,Probability cluster sample,Purposive sample,-99.Information not available,Purposive sample
130,f_4_4,4.4. Sampling frame(s),-99.Information not available,-99.Information not available,"Ministry of Interior data on the number of issued work permits in Croatia in 2010 and 2011 (1,518)",Popis stanovništva RH 2001. DZS (official population census),Popis stanovništva RH 2001. DZS (official population census),Popis stanovništva RH 2001. DZS (official population census),Popis stanovništva RH 2001. DZS (official population census),Popis stanovništva RH 2011. DZS (official population census); data of the Ministry of Education and Science on minority schooling,Popis stanovništva RH 2001. DZS (official population census) - only used for general information on Darda municipality,-99.Information not available,-99.Information not available,Elementary and secondary schools in Vukovar conducting lessons in the Serbian and/or Croatian language,Elementary and secondary schools in Vukovar conducting lessons in the Serbian and/or Croatian language,Elementary and secondary schools in Vukovar conducting lessons in the Serbian and/or Croatian language,The city quarters/neighbourhoods according to the ethnic structure was likely employed,The city quarters/neighbourhoods according to the ethnic structure was likely employed,All high schools in Vukovar (4) and Vukovar University,2011 census data; Atlas of Roma settlements in Međimurje County,Residence in selected local self-government units
131,f_4_5,4.5. Sampling units,Individuals,Individuals,Individuals,Individuals,Individuals,Individuals,Individuals,Schools,Individuals,Individuals,Individuals,Individuals,Individuals,Individuals,Individuals,Individuals,Individuals,Households; individuals,individuals
132,f_4_6,4.6. Comments on sampling methods,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,The authors stress a high coverage of the target population by an achieved sample.,The authors stress a high coverage of the target population by an achieved sample.,The authors stress a high coverage of the target population by an achieved sample.,-999.Not applicable,-999.Not applicable,There is no mention of how university students were sampled and no characteristics of this group were provided. It is clear from the study that all high school students attend final (fourth) grade but it is not clear how the sample of grades was selected.,-999.Not applicable,"There is no mention of how the respondent were sampled. The authors state: ""When selecting participants, we were guided by the principle of balance of all selected
local governments …the balance of the respondents was achieved by selecting 20 respondents in every included local government unit.""
"
133,f_5,5. Sample size for the overall survey,,,,,,,,,,,,,,,,,,,
134,f_5_1,5.1. Total gross/issued sample,"2,000",-99.Information not available,-99.Information not available,-99.Information not available,-99.Information not available,-99.Information not available,-99.Information not available,-99.Information not available,-99.Information not available,-99.Information not available,-99.Information not available,-99.Information not available,-99.Information not available,-99.Information not available,-99.Information not available,-99.Information not available,-99.Information not available,-99.Information not available,-99.Information not available
135,f_5_2,5.2. Total net/achieved sample,1110,301,61,442,421,809,395,15,53,430,510,1671,1552,1645,404,404,254,1134,167
136,f_5_3,5.3. Overall response rate,-99.Information not available,-99.Information not available,-99.Information not available,-99.Information not available,-99.Information not available,-99.Information not available,-99.Information not available,-99.Information not available,-99.Information not available,-99.Information not available,-99.Information not available,-99.Information not available,-99.Information not available,-99.Information not available,-99.Information not available,-99.Information not available,-99.Information not available,-99.Information not available,-99.Information not available
137,f_5_4,5.4. Overall response rate calculated,-99.Information not available,-99.Information not available,-99.Information not available,-99.Information not available,-99.Information not available,-99.Information not available,-99.Information not available,-99.Information not available,-99.Information not available,-99.Information not available,-99.Information not available,-99.Information not available,-99.Information not available,-99.Information not available,-99.Information not available,-99.Information not available,-99.Information not available,-99.Information not available,-99.Information not available
138,f_5_5,"5.5. If ""other"" in 5.4., describe",-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable
139,f_5_6,5.6. Comment on any known issues ,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,"Many schools (particularly in Vukovar-srijem county) declined the opportunity to take part in the research due to short deadlines and unfavourable timing of the research (end of school year). Authors also assumed that schools in Vukovar-srijem County declined for potentially other reasons (sensitivity of the research topic, oversaturation with numerous research projects conducted in that region).",-999.Not applicable,-999.Not applicable,-999.Not applicable,The total net/achieved sample is broken down as follows: 718 (students) and 953 (parents).,The total net/achieved sample is broken down as follows: 703 (students) and 849 (parents).,The total net/achieved sample is broken down as follows: 696 (students) and 949 (parents).,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable
140,f_5_7,5.7. Are weights provided,0.No,0.No,0.No,0.No,0.No,-99.Information not available,-99.Information not available,-99.Information not available,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No
141,f_5_8,5.8. If weights: Please describe,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable
142,f_5_9,5.9. Additional comments  to section 5,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,The study also included teachers working in selected schools but no ethnic affiliation of the teachers was specified within the reports.,The study also included teachers working in selected schools but no ethnic affiliation of the teachers was specified within the reports.,The study also included teachers working in selected schools but no ethnic affiliation of the teachers was specified within the reports.,-999.Not applicable,267 respondent from the first wave were included in the total sample.,-999.Not applicable,The sample was also designed at household level. Achieved net sample size was 197 Roma households and 1134 individuals.,-999.Not applicable
143,f_6,6. Sample sizes for any subgroups in which the survey is partitioned,,,,,,,,,,,,,,,,,,,
